id,value
id_0,6.582888683657
id_1,18.424477292712464
id_2,24.122100338508115
id_3,7.648946529543143
id_4,27.030620616740055
id_5,22.201359846056846
id_6,23.711501751016343
id_7,30.529587555327996
id_8,16.811300858726543
id_9,59.85644956208702
id_10,11.716096394486517
id_11,9.18483843053859
id_12,63.2517335882297
id_13,53.167373351027024
id_14,22.212752513954744
id_15,12.294031172572373
id_16,32.32562127132431
id_17,66.68159889426246
id_18,-0.4036791572454881
id_19,17.11968363161875
id_20,41.771754323137564
id_21,72.27238062391129
id_22,9.26547168437639
id_23,17.955065468436963
id_24,14.858993719792629
id_25,37.97544032323237
id_26,14.800081683691161
id_27,67.65228381345108
id_28,7.204931026916505
id_29,55.38522521373399
id_30,24.454044240240094
id_31,8.508213940975594
id_32,2.6361760992886456
id_33,18.7357399465889
id_34,27.645152384747053
id_35,37.23685210251455
id_36,43.3040864574399
id_37,29.828698844230377
id_38,42.04256615866378
id_39,35.17970918525673
id_40,7.595481369060035
id_41,41.24310419155016
id_42,30.487887520111357
id_43,50.88742333540074
id_44,17.531778399358085
id_45,35.29559860549109
id_46,24.67373405469639
id_47,9.617592926219471
id_48,26.79668840422274
id_49,32.428269445444585
id_50,19.968811534068166
id_51,7.892663833052076
id_52,20.414279654302995
id_53,52.67623817868112
id_54,15.926156259673242
id_55,36.375182011240625
id_56,32.99891790844508
id_57,20.648810797981866
id_58,57.31426892272336
id_59,22.701567319484575
id_60,14.145270990554213
id_61,41.60904462633976
id_62,12.516899065492177
id_63,48.45012570634469
id_64,14.182789844006075
id_65,15.200793418753152
id_66,14.514811466149888
id_67,-0.9470179606158009
id_68,43.89875776053783
id_69,29.030645790339676
id_70,20.40835027001023
id_71,41.810668972657716
id_72,60.76223341923473
id_73,5.651570304690953
id_74,16.485258109408335
id_75,3.414006353191703
id_76,40.32604000606702
id_77,14.022790876557508
id_78,21.603736145558994
id_79,20.957886619160742
id_80,23.857940901314137
id_81,36.08204086697444
id_82,21.844619376971217
id_83,92.63173413364626
id_84,37.36029622662362
id_85,27.874464752622774
id_86,22.131248396799876
id_87,33.747210195845646
id_88,23.142468525471
id_89,19.711589472541768
id_90,28.888691078776084
id_91,41.633753623750906
id_92,4.897836148447624
id_93,38.82907952233525
id_94,45.71695733453376
id_95,16.606529477145457
id_96,31.532075177547924
id_97,13.02490630669833
id_98,23.296535031625538
id_99,4.448979982848513
id_100,17.94838706829103
id_101,26.348062034686166
id_102,13.99559569403419
id_103,15.903243678151016
id_104,23.986650893891138
id_105,39.69900415708986
id_106,31.66914462423469
id_107,6.304748819776022
id_108,6.051503580158734
id_109,78.49754408695422
id_110,48.10004328940229
id_111,17.091261526594188
id_112,27.730087985525497
id_113,15.28998158277251
id_114,13.671677524178511
id_115,24.859983062722723
id_116,26.606200067335134
id_117,10.480891877257871
id_118,18.18424295331302
id_119,19.491116022680295
id_120,80.52168428215231
id_121,25.495936000131994
id_122,37.40173628947889
id_123,25.452438726161795
id_124,7.346961176399368
id_125,38.544310423162564
id_126,9.167197842087653
id_127,21.980535018484677
id_128,29.15015745956443
id_129,62.776570539543556
id_130,21.805987582958405
id_131,23.38759288380395
id_132,59.195698782120616
id_133,15.264201772435054
id_134,14.076279012083667
id_135,2.711948541970102
id_136,12.449389647630984
id_137,58.68584537345693
id_138,20.412708433949373
id_139,5.434051430426866
id_140,29.240220657687978
id_141,25.333840993902875
id_142,45.542001183398476
id_143,30.708056135211464
id_144,18.373184681057733
id_145,26.074095090867516
id_146,12.045256570391043
id_147,51.97356205692831
id_148,23.587155769587287
id_149,38.47893117193407
id_150,10.13126717205422
id_151,8.150139894400894
id_152,23.42969504450965
id_153,6.411046320498883
id_154,14.951602503828088
id_155,41.097688307617204
id_156,7.7295088237628296
id_157,36.237959783616915
id_158,11.01973853172412
id_159,18.967935697509517
id_160,41.57173749787877
id_161,19.448299725217854
id_162,13.337091711064067
id_163,7.900821631364044
id_164,52.632549880123186
id_165,31.314216477080386
id_166,-0.5112975607007382
id_167,16.23849670272988
id_168,63.637172379270226
